City,latitude,longitude
Toronto,43.7001100,-79.4163000
Ottawa,45.2501566,-75.8002568
London,42.948881,-81.24862
Windsor,42.2926987,-83.002882
Kitchener,43.4304343,-80.4763151
Brantford,43.1476086,-80.2740655
St Catharines,43.1748004,-79.2492
Orillia,44.605515,-79.4225095
Owen Sound,44.5752984,-80.9280765
Peterborough,44.3151944,-78.3255739
Kingston,44.3442157,-76.4733248
Cornwall,45.0459861,-74.756856
Perth,44.8991091,-76.250071
Pembroke,45.8160166,-77.115519
North Bay,46.337588,-79.3805354
Timmons,48.4941056,-81.2688895
Saul Ste Marie,46.5371175,-84.4095412
Thundar Bay,48.4025585,-89.2719957
Hamilton,43.2608104,-79.9354332
Waterloo,3.4822185,-80.5467194
Cambridge,43.4022994,-80.332588
Guelph,43.534433,-80.240168
Orangeville,43.9121334,-80.1036289
Stratford,43.3688236,-80.984248
Burlington,43.3814301,-79.8419005
Oakville,43.4498343,-79.7180603
Port Maitland,42.8660425,-79.565662
Bradley,42.3411175,-82.412934
Sarnia,42.975269,-82.3450189
Goderich,43.737857,-81.7082731
Southampton,44.4947587,-81.3620691
Collingwood,44.5026141,-80.2173667
Gravenhurst,44.888542,-79.298801
Huntsville,45.3052834,-79.2836478
Renfrew,45.4727184,-76.6737519
Arnprior,45.4239525,-76.351299
Eganville,45.5343304,-77.0973257
Belleville,44.2430423,-77.361139
Oshawa,43.948872,-78.878351
Port Perry,44.0988055,-78.9618814
Bobcaygeon, 44.5418384,-78.5459001
Bancroft,45.0440914,-77.7676535
